Model	Stok Tanımı	Stok Kodu	Barkod
3BL0C903L	3BL0C903L Benetton Şort, 13-14 Yaş, Turuncu	5003255832003	8055268022952
3I1XC10P7	3I1XC10P7 Benetton T-Shirt, 10-11 Yaş, Mor	5003255932001	8055268067403
3J68C901C	3J68C901C Benetton Şort, 11-12 Yaş, Şeftali	5003255808002	8055268078669
3J68C901C	3J68C901C Benetton Şort, 13-14 Yaş, Şeftali	5003255808003	8055268078676
3J68C901C	3J68C901C Benetton Şort, 8-9 Yaş, Şeftali	5003255808006	8055268078683
3J68C901C	3J68C901C Benetton Şort, 7-8 Yaş, Şeftali	5003255808005	8055268078690
3J68C901C	3J68C901C Benetton Şort, 6-7 Yaş, Şeftali	5003255808004	8055268078706
3J68C901C	3J68C901C Benetton Şort, 10-11 Yaş, Şeftali	5003255808001	8055268078713
3J68C901C	3J68C901C Benetton Şort, 6-7 Yaş, Fuşya	5003255798004	8055268086626
3J68C901C	3J68C901C Benetton Şort, 7-8 Yaş, Fuşya	5003255798005	8055268086633
3J68C504N	3J68C504N Benetton Sweatshirt, 13-14 Yaş, Mor	5003255803003	8055268202392
3J68C504N	3J68C504N Benetton Sweatshirt, 11-12 Yaş, Mor	5003255803002	8055268202408
3J68C901C	3J68C901C Benetton Şort, 11-12 Yaş, Fuşya	5003255798002	8055268253462
3BL0C903L	3BL0C903L Benetton Şort, 7-8 Yaş, Turuncu	5003255832005	8055268524982
3BL0C903L	3BL0C903L Benetton Şort, 10-11 Yaş, Turuncu	5003255832001	8055268566258
3BL0C903L	3BL0C903L Benetton Şort, 6-7 Yaş, Turuncu	5003255832004	8055268566265
3J68C901G	3J68C901G Benetton Şort, 10-11 Yaş, Kırmızı	5003255809001	8055268609542
3J68C901G	3J68C901G Benetton Şort, 6-7 Yaş, Kırmızı	5003255809004	8055268609559
3J68C901G	3J68C901G Benetton Şort, 7-8 Yaş, Kırmızı	5003255809005	8055268609566
3J68C901G	3J68C901G Benetton Şort, 8-9 Yaş, Kırmızı	5003255809006	8055268609573
3J68C901G	3J68C901G Benetton Şort, 11-12 Yaş, Kırmızı	5003255809002	8055268609597
3MT1C901D	3MT1C901D Benetton Tayt, 11-12 Yaş, Pembe	5003255861002	8055268989651
3MT1C901D	3MT1C901D Benetton Tayt, 13-14 Yaş, Pembe	5003255861003	8055268989668
3MT1C901D	3MT1C901D Benetton Tayt, 8-9 Yaş, Pembe	5003255861006	8055268989675
3MT1C901D	3MT1C901D Benetton Tayt, 6-7 Yaş, Pembe	5003255861004	8055268989699
3I1XC10OO	3I1XC10OO Benetton T-Shirt, 7-8 Yaş, Saks	5003255921005	8056256022749
3MT1C901D	3MT1C901D Benetton Tayt, 10-11 Yaş, Pembe	5003255861001	8056256046912
3MT1C901D	3MT1C901D Benetton Tayt, 7-8 Yaş, Pembe	5003255861005	8056256046929
